DisGeNET Gene Set,STRING,ConsensusPathDB,HumanNet,Reactome,ReactomeFI,GIANT,InBioMap,GeneMANIA,DIP,MultiNet,HINT,IRefIndex,PathwayCommons,HPRD,BioGRID,Mentha,IntAct,PID,BioPlex,BIND,HumanInteractome
Aplastic Anemia,3.532564537,1.180824213,1.503259651,0.807353082,0.923725027,0.723758922,0.968587093,0.744741268,0.398015847,0.488828958,0.390532528,0.682130903,0.813372075,0.778157114,0.397606533,0.588022019,0.36383542,0.371201886,0.054453988,0.307135603,0.013047655
"Arthritis, Psoriatic",3.090555273,2.040083826,2.332544535,1.570177781,1.375897247,1.428442106,1.337103704,1.136119619,1.055251019,1.362058806,0.96218032,1.143015096,1.050834178,1.44262892,1.270908004,1.365070139,0.913907111,0.436078666,0.645915964,0.598798921,0.196755112
Arthropathy,2.805303182,2.452603974,2.821578419,1.081398375,1.138030732,1.014643591,0.852562408,0.983993185,0.600228513,0.933503369,0.591785978,1.3140725,0.923958172,1.37784849,0.709685143,0.752099899,0.662631361,0.302714323,0.600392233,0.833839134,0.008055097
Ataxia,0.876235259,0.144796139,0.250111068,0.346473976,0.49168414,0.201880628,0.290009597,0.131323306,0.053717303,0.221989416,0.160317201,0.261282951,0.16474931,0.296985162,0.433211402,0.173403267,0.148992433,0.448580406,0.121102079,0.15793487,0.351955256
Atrial Fibrillation,2.280595323,1.336270955,1.103702504,1.648863293,1.145400497,0.853086397,0.906431554,0.781287749,0.807946709,0.912865253,0.752566876,1.068498746,0.698834221,0.722218999,0.828424264,0.871899339,0.474534488,0.198282812,0.534240058,0.398380503,0.08172697
Atrial Premature Complexes,1.240765855,0.684247012,0.928917659,0.889963602,0.516527812,0.397166485,0.458012463,0.551977553,0.526100469,0.404475972,0.588175801,0.40601932,0.389833348,0.588057336,0.298826511,0.390868865,0.378649371,0.506567491,0.543758237,0.462132946,0.167301764
Atrophic condition of skin,1.239037394,0.708319938,0.512462588,0.759524955,0.545939264,0.808684625,0.388367869,0.352109624,0.094562026,0.417701326,0.363099121,0.447862375,0.421350879,0.272631037,0.378360533,0.307039008,0.345254009,0.143530436,0.059520522,0.114073572,0.000427705
Attention deficit hyperactivity disorder,2.208765058,1.229871912,0.993258943,0.837354584,0.794663374,0.727534108,0.889827843,0.400996883,1.330636491,0.548004605,0.565453784,0.523900476,0.55157702,0.528293984,0.449528913,0.395435724,0.322897751,0.239390663,0.207646474,0.603907825,0.007552863
Autosomal Dominant Disorder,1.279368643,0.817403768,0.65404169,0.879699917,0.666221596,0.432445289,0.508166091,0.350248183,1.334452259,0.481191027,0.291284685,0.451077082,0.323116804,0.562096995,0.278965216,0.381452108,0.410573023,0.314581552,0.097154729,0.187432211,0.010450769
Autosomal Recessive Disorder,1.244551165,0.426327057,0.631612062,2.007044758,0.63197965,0.256678739,0.420745108,0.543027137,0.65662179,0.758095807,0.362959952,0.311527599,0.649431085,0.788746006,0.27489265,0.359479337,0.241027731,0.320622404,0.140892684,0.200555985,0.014755396
Azoospermia,1.368903802,0.329762897,0.663318868,0.559493441,1.302329675,0.636914988,0.275873212,0.521367864,0.838467646,0.279527855,0.524824931,0.45751413,0.413449783,0.62809454,0.433020613,0.274246308,0.389883414,0.482232296,0.164671799,0.197755706,0.17218701
Bacteremia,1.949800896,1.596034617,0.947841356,1.222807243,0.585251074,0.269961084,0.552895456,2.175803852,0.091008961,0.355414747,0.325814049,0.639286366,1.062411548,0.634111583,0.293921782,0.233377107,0.16868393,0.741607912,0.369361063,0.044280879,0.021499507
Bacterial Infections,3.02362391,2.014273413,2.030029821,2.000959219,1.477242303,1.964711808,1.483543989,1.790301088,0.878911135,0.998884587,0.945585609,1.092313004,1.210096441,0.970565653,0.828833213,0.991257318,0.790921458,1.098529513,0.129983238,0.732537309,0.46576484
Behcet Syndrome,3.784751523,2.69586746,2.859386183,2.891492058,2.258164337,2.446455625,1.807879443,2.80004874,1.804297979,1.744440711,1.108925106,1.486604982,1.298732241,1.60526839,1.050296582,1.275925352,0.927433697,1.222277883,0.229774007,1.044090233,0.006754568
Bilateral cataracts (disorder),4.375471669,1.881712981,2.387494097,0.735915021,2.565834378,0.325263961,1.508343012,0.390288962,1.123017218,0.947285056,0.734883208,1.373823571,0.975452421,1.823563608,1.733838346,1.063734748,0.758505866,0.02408114,0.117850434,0.20670913,0.28841047
Biliary Tract Cancer,1.07909605,1.124359706,0.645269146,0.56256102,0.46467293,0.51814762,0.59990051,0.48746085,0.343799142,0.426830772,0.436981158,0.388873506,0.331983742,0.271312762,0.437920563,0.498424513,0.412820025,0.082912092,0.70821223,0.296672045,0.003790989
Blast Phase,1.268019094,0.926919016,0.575922578,0.741076127,0.595122196,0.635142702,0.687554023,0.767733587,0.351920336,0.32423824,0.548971219,0.45837733,0.302777147,0.175423828,0.444566088,0.445104889,0.419203881,0.237473083,0.452240806,0.151713617,0.430652049
Bloom Syndrome,2.013398999,0.582493909,0.965579243,1.874035188,1.867085748,0.399756881,0.779966737,1.099658188,0.631225246,0.607573012,0.924081961,0.755518021,0.89276803,0.773928978,0.605885258,0.558086669,0.605804143,0.965230837,0.288878949,0.508549487,0.820198136
Bone Diseases,1.950590413,1.566084058,0.891237864,1.715792378,1.11603258,1.000844839,1.149052548,0.646036695,0.477985308,0.770060144,0.631188508,0.895072136,0.606426741,0.682953846,0.548678239,0.777905499,0.674307755,0.713463836,0.152213321,0.100969577,0.002910464
Brain Diseases,0.966193479,0.469392729,0.337263486,0.380844925,0.396460084,0.173724595,0.182890079,0.201987314,0.156597611,0.246253106,0.235143217,0.223710831,0.277467911,0.254833167,0.258265518,0.239926616,0.206289044,0.089450766,0.129350814,0.121912124,0.148690725
"Breast Cancer, Familial",1.924964023,1.592011997,1.416827855,2.929010929,2.237796933,1.653013994,1.832194151,1.425011406,1.168266262,1.028819663,1.214047544,1.599703435,0.961660397,1.304535308,1.264878814,1.277716727,1.49376917,1.041361036,0.518094208,0.492588213,0.183153698
Breast Fibrocystic Disease,2.074250295,0.787398385,0.575484316,0.941299424,1.380578659,1.244048051,1.234231449,0.535967745,0.970674591,0.472234928,0.529401996,0.29702869,0.829674496,0.361235173,0.435248973,0.376167815,0.257700341,0.944558225,0.100612583,0.108848045,0.47651151
Bronchopulmonary Dysplasia,2.046443585,1.339843463,0.799434242,1.141463117,0.940689101,0.840385812,0.694426569,0.53636666,0.660762813,0.603288592,0.457444135,0.574277013,0.768026595,0.636113339,0.430372103,0.465582209,0.364890813,0.274953389,0.225685781,0.147822477,0.023787503
CNS disorder,2.058378103,1.001263433,0.483510044,0.27994156,0.483322879,0.446093752,0.324615469,0.323594839,1.669212359,0.315591175,0.550900558,0.494872344,0.51643465,0.566144048,0.349725371,0.611536581,0.585397205,0.11536703,0.94293287,0.259097029,0.063711517
Cachexia,2.233695382,1.62437657,1.503494082,0.718436461,0.667177095,0.916239563,0.535797231,0.527288327,0.10999899,0.362240544,0.373621982,0.223248828,0.606676469,0.353193646,0.28203044,0.314158232,0.584745175,0.429187131,0.256261395,0.497211327,0.003171716
Carcinoid Tumor,1.788607406,1.545377695,1.005240999,0.698170034,0.684772822,0.526812458,0.831913608,0.422868348,0.961013058,0.416322148,0.484047418,0.60430143,0.344101736,0.373335291,0.646743441,0.545085074,0.401065719,0.24211189,0.817235674,0.313417218,0.190272253
Carcinoma of larynx,1.501302564,0.650819369,0.887195837,1.196067317,1.432550475,0.620534705,0.569693542,0.598647839,0.509426201,0.705917018,0.575381732,0.436895321,0.719590891,0.515242477,0.569068304,0.511669385,0.583973322,0.327198244,0.899136788,0.310889702,0.031247745
"Carcinoma, Endometrioid",1.179846551,0.636024661,0.289404575,0.408162197,0.681944497,0.498218334,0.535210393,0.217541164,0.177443365,0.312784779,0.214242533,0.406296436,0.377023408,0.275543,0.27400307,0.305373581,0.182457613,0.222289231,0.219949616,0.11276931,0.100658728
"Carcinoma, Lewis Lung",2.297482954,2.095858914,0.620338931,0.439501036,0.569717547,0.887086673,0.788928317,0.488468286,0.850178716,0.592330215,0.91761833,0.583803622,0.657151031,0.539112889,0.657428472,0.923242709,0.584429965,0.159832071,0.642255989,0.321989032,0.085222676
"Carcinoma, Papillary",1.119302743,0.900100425,0.862149422,0.989438225,1.18601205,0.911142814,1.039251271,0.684118877,0.524368045,0.743706045,0.728991049,0.57707477,0.444787959,0.402654927,0.501339187,0.601569137,0.448309763,0.207893158,0.31938586,0.374207692,0.075948948
Cardiac Arrest,1.222071664,0.355774439,0.406535739,0.417266829,0.648184776,0.432566174,0.225155081,0.428269838,-0.043807121,0.184493136,0.136880405,0.163097054,0.474836829,0.105385301,0.203615821,0.074614011,0.206151072,0.282662599,0.181863503,0.190408957,0.090211763
"Cardiomyopathy, Dilated",1.70040849,0.809570461,0.796653288,1.084228812,0.925032016,0.853443011,0.728251304,0.909067201,0.510587566,0.465554438,0.331504715,0.550973711,0.393566531,0.514812179,0.558906506,0.545683901,0.35446707,0.073588877,0.127398667,0.426428909,0.048836605
Cataract,3.18114584,1.468538923,1.566682012,0.851179888,1.942568395,0.429044173,1.110426794,0.39000566,1.066158475,0.916610611,0.549820625,0.934285051,0.665981948,1.237242918,0.996930952,0.651106307,0.586054151,-0.013014548,0.176223263,0.145597536,0.505592151
Celiac Disease,3.60540784,1.756190861,1.702065373,1.423014483,1.122151808,1.656043247,1.076552011,1.786193582,1.058503849,0.718490462,0.930581466,1.053987928,0.963669173,0.833750482,0.567991874,0.834061621,0.504031633,0.543549068,0.141079868,0.713243941,0.014468956
Cerebellar Ataxia,0.826615258,0.181060756,0.2723284,0.530408229,0.578135446,0.211706419,0.342527621,0.153702562,0.209784788,0.297947638,0.216716297,0.198432733,0.183618053,0.299413056,0.3240367,0.177958131,0.131632545,0.466114326,0.207581785,0.194089854,0.152719235
Cerebral Infarction,1.482293195,1.161831511,0.740190015,0.804075764,1.024222771,0.691614684,0.745815528,0.700908206,0.45935812,0.363275867,0.554530205,0.554088562,0.559084105,0.416401193,0.524801437,0.493508002,0.33594464,0.240696421,0.245407409,0.225094787,0.134659576
Cerebral Ischemia,1.402030482,1.209466214,0.751900698,0.848835623,0.951605157,0.697812687,0.783355737,0.72663431,1.033625748,0.444021691,0.691013925,0.617495934,0.583306721,0.536625138,0.70685781,0.514133159,0.400111011,0.339445475,0.342328244,0.290058727,0.159721865
Cerebrovascular Disorders,3.650994546,1.506390062,1.83160405,2.151562414,1.584189727,1.028803875,0.874875639,1.175383023,1.263804432,0.993010685,0.783491466,1.413248867,1.214372188,1.77435995,0.765525641,0.828716684,0.650561226,0.509588565,0.287815439,0.464542984,0.007652016
Cervical Intraepithelial Neoplasia,1.443142354,0.74331759,0.822005279,0.683770238,0.649869896,0.548200661,0.605940426,0.370633329,0.307658355,0.333340644,0.3185026,0.417812858,0.306495872,0.233038079,0.308130596,0.365071744,0.363013565,0.46102792,0.135262963,0.080431977,0.108522736
Cervical Squamous Cell Carcinoma,0.948726831,0.767784065,0.849967545,0.63136099,0.698860346,0.336187818,0.710966549,0.927434705,0.659427737,0.573566729,0.389924293,0.467164756,0.419294818,0.396742511,0.426420061,0.431326356,0.355037904,0.220096504,0.182616127,0.072462019,0.17812792
Chagas Disease,2.062966761,1.218298904,1.766162474,1.127687337,0.969876995,1.083143494,0.920481105,1.066272776,0.941551277,0.908027953,0.884580065,0.922320387,0.804665029,0.862368087,0.721674976,0.703229974,0.517934353,0.794705011,0.23329305,0.62635538,0.013684782
Charcot-Marie-Tooth Disease,3.315877623,0.711328074,0.668232693,1.149827697,0.987786354,0.18808447,0.575722553,0.286437535,0.056703189,0.446417048,0.159979758,0.57506654,0.341076439,0.424146735,0.625371425,0.475876242,0.435585927,0.174649459,0.18477548,0.214857929,0.046996785
Childhood asthma,4.150828802,1.050640598,0.911795466,0.511081469,0.886436552,0.476251166,0.45825143,0.530599083,0.581890393,0.446906349,0.520161288,0.279466583,0.865799148,0.457905325,0.292840379,0.262971912,0.196073854,0.443611105,0.159985044,0.052187248,0.005691891
Chondrosarcoma,1.793396598,1.802879488,1.208423984,1.236600794,1.060853294,1.635301829,1.15731234,1.091436672,0.688451188,0.794655183,0.787589184,0.82009171,0.610539345,0.671478509,0.841661884,0.816188635,0.583666376,0.253118861,0.510224381,0.240953537,0.12309855
Chordoma,0.738106661,0.690220007,0.716856023,1.524469013,0.950457697,0.603472826,0.836357608,0.970859275,0.455088393,0.358438294,0.510213247,0.458873204,0.577599037,0.27681964,0.46428811,0.487642309,0.581115983,0.348919626,0.404788346,0.687236745,0.134619893
Choriocarcinoma,1.425422559,1.042620926,0.603295164,0.559410853,0.672807163,0.800755813,0.439020732,0.894336848,0.524685797,0.41235183,0.498428598,0.433189951,0.437154195,0.41682175,0.413081155,0.482134295,0.484562624,0.192097408,0.666149932,0.297669723,-0.002941016
Chronic Periodontitis,4.347431168,2.997803936,2.052786946,1.730580963,0.965243267,1.151015324,1.020067645,1.671285027,1.608060545,1.058476939,1.319587143,1.282909235,1.395365698,1.179117785,0.909149456,0.995533297,0.47072179,0.539332815,0.84911428,0.296198614,0.047727745
Chronic liver disease,2.229613201,1.847144263,1.171088481,1.162911775,1.195393565,1.06906569,0.611139622,0.757750167,0.691662379,0.95324098,1.147827811,0.791273502,0.920958623,0.826014452,0.980929769,0.79945297,0.391174489,0.331874949,0.391905817,0.455329348,0.008558967
Chronic myeloproliferative disorder,1.478922288,1.452482984,1.011359102,1.228379371,0.767415836,0.641147169,1.360645665,1.000363162,0.525825913,0.79889381,0.781465154,0.980057486,0.57888926,0.517449043,0.815424176,0.841598905,0.619809485,0.317727578,0.356753956,0.52650039,0.028441503
Classical Hodgkin's Lymphoma,2.0908699,1.592050922,2.34540713,1.451556947,1.206497064,2.794294374,1.502787094,2.705554362,0.839808972,0.821868754,0.95808161,0.899663965,0.795225233,0.693678138,0.817653588,0.78468847,0.7262362,0.54859035,0.699456459,0.657843988,0.36347628
Clear-cell metastatic renal cell carcinoma,1.134165917,0.366509933,0.411389971,0.532270278,0.946787667,0.603421446,0.459436605,0.308361595,0.722370451,0.313899507,0.18385361,0.262999814,0.23916406,0.348747135,0.299991929,0.193010409,0.29776841,0.386912528,0.440248123,0.616408185,-0.010473527
Cognition Disorders,1.689658366,0.954201112,0.695516441,0.630286892,0.533319274,0.611864462,0.516598857,0.409529885,0.598826294,0.602088981,0.490414546,0.404114538,0.387832699,0.383914736,0.476847499,0.423227987,0.350337637,0.254478083,0.151516644,0.309867548,0.009013953
Coinfection,2.081835684,0.932782861,1.32806236,0.543212897,0.716251209,0.727947494,0.522726964,0.781616053,0.324188546,0.610706539,0.670694516,0.687278049,0.661120857,0.42693955,0.367795887,0.495630135,0.432290844,0.254949552,0.069167625,-0.016952169,0.235299349
Colorectal cancer metastatic,1.327468296,1.523333909,1.361581236,1.076990645,0.887773548,1.067421565,1.187517191,0.876610452,1.289678365,0.97742003,1.02221475,0.637070476,0.691723591,0.7371314,0.812851383,0.857814608,0.790927117,0.312266165,0.506521935,0.562873278,0.041566775
Common Variable Immunodeficiency,5.727501847,2.453749918,3.585110582,2.093377281,1.009583654,2.727426539,1.603812917,1.882183886,1.278898658,1.979247785,1.442452003,1.522819138,0.899597217,1.837247399,1.301417149,1.363941108,0.483695623,0.664513742,0.953172402,0.520290587,0.095700767
Complete atrioventricular block,3.698583491,0.897517897,1.506833911,0.91121186,1.194208129,1.337287654,0.839054673,1.689078903,0.554073331,0.797060938,0.689592554,0.77032012,0.738886484,1.027177873,0.676196369,0.681171439,0.295402508,0.47682132,0.294434737,0.518074214,0.009267708
Congenital Heart Defects,1.569428529,0.544064184,0.619839154,0.952563208,0.957851617,1.109540012,0.480330625,0.40752981,0.561947547,0.338916343,0.376673863,0.370794855,0.347737651,0.586216581,0.372512596,0.325439667,0.253236743,0.3998505,0.082281533,0.273588825,0.011790796
Congenital contractural arachnodactyly,1.165520128,0.815492368,0.947151157,0.562167489,0.598367559,1.1220357,0.584288829,0.582080271,0.657567187,0.414423007,0.523968859,0.455812273,0.36677241,0.384259521,0.436168896,0.380617098,0.41598632,0.340160245,0.277568791,0.410019331,0.186628157
Craniosynostosis,2.12478877,1.123355284,1.000539869,0.571302134,0.878259635,0.982962849,0.856328169,0.668093766,0.923069495,1.095903145,0.725259901,1.143290183,0.508322701,1.039960847,0.489639427,0.645638626,0.301028671,0.204971243,0.147508786,0.156193787,0.103304201
Cutaneous Melanoma,1.005844196,1.108768184,0.856138989,1.261521487,1.091314049,0.664876448,0.669176124,0.622510394,0.28708902,0.563202865,0.373396285,0.433018189,0.426318285,0.34804205,0.415525158,0.454750365,0.40990458,0.206305236,0.645255874,0.252117419,0.52421853
Cyst,1.584871293,0.524548982,0.596940666,0.494199029,0.538486467,0.629885052,0.523709349,0.423946322,0.517814898,0.7784506,0.19280233,0.404763056,0.356861392,0.433471103,0.32253383,0.362986782,0.359965301,0.120023658,0.165304836,0.077411014,0.14870487
Cytomegalovirus Infections,1.758105031,1.080279806,1.33172192,0.784734801,0.880557636,0.904643236,0.702994302,0.953792993,0.192427032,0.608041489,0.681609064,0.495659157,0.407443828,0.612851445,0.493832001,0.527352817,0.441941227,0.224334877,0.436843101,0.268646763,0.034889089
Dengue Fever,3.027073141,0.754277672,1.305456482,0.578168704,0.917605851,1.22842953,0.630114139,1.291268022,0.762958793,0.618247472,0.621178616,0.539437055,0.666528628,0.496450388,0.694013139,0.496294301,0.415896742,0.372875324,0.576960387,0.080937758,0.016965769
Dental caries,1.718076135,0.679497463,0.549728344,0.342075842,0.448764264,0.344982872,0.296239937,0.323727246,0.892940315,0.338048415,0.455634775,0.411955239,0.304165907,0.819641096,0.200141446,0.308350361,0.123960975,0.187737771,0.121608318,0.245194793,0.254235802
Depressive Symptoms,2.238745517,0.842669711,0.772449781,0.70387475,0.823021494,0.418068469,0.601097691,0.532187075,0.240275565,0.461697362,0.322860286,0.614135675,0.947234752,0.63870738,0.351605027,0.315478408,0.25607821,0.388219618,0.188089811,0.4227155,0.000160485
Dermatitis,4.986455823,2.940543291,2.966906788,1.640081298,1.9629801,1.823476474,1.509945908,2.414532067,1.355444393,1.604397189,1.161641799,1.316555368,1.55691245,1.16827778,1.165048315,1.011928606,0.959821074,1.38644604,0.4495671,0.80543244,0.019782425
